"id","siafi_code"
br_base.city_2931350,3993
br_base.city_2931400,3927
br_base.city_2931509,3929
br_base.city_2931608,3931
br_base.city_2931707,3933
br_base.city_2931806,3935
br_base.city_2931905,3937
br_base.city_2932002,3939
br_base.city_2932101,3941
br_base.city_2932200,3943
br_base.city_2932309,3945
br_base.city_2932408,3947
br_base.city_2932457,3047
br_base.city_2932507,3949
br_base.city_2932606,3951
br_base.city_2932705,3953
br_base.city_2932804,3955
br_base.city_2932903,3957
br_base.city_2933000,3959
br_base.city_2933059,3997
br_base.city_2933109,3961
br_base.city_2933158,3995
br_base.city_2933174,3049
br_base.city_2933208,3963
br_base.city_2933257,3051
br_base.city_2933307,3965
br_base.city_2933406,3967
br_base.city_2933455,3999
br_base.city_2933505,3969
br_base.city_2933604,3971
br_base.city_2300101,1301
br_base.city_2300150,1231
br_base.city_2300200,1303
br_base.city_2300309,1305
br_base.city_2300408,1307
br_base.city_2300507,1309
br_base.city_2300606,1311
br_base.city_2300705,1313
br_base.city_2300754,1587
br_base.city_2300804,1315
br_base.city_2300903,1317
br_base.city_2301000,1319
br_base.city_2301109,1321
br_base.city_2301208,1323
br_base.city_2301257,0989
br_base.city_2301307,1325
br_base.city_2301406,1327
br_base.city_2301505,1329
br_base.city_2301604,1331
br_base.city_2301703,1333
br_base.city_2301802,1335
br_base.city_2301851,1233
br_base.city_2301901,1337
br_base.city_2301950,1235
br_base.city_2302008,1339
br_base.city_2302057,1237
br_base.city_2302107,1341
br_base.city_2302206,1343
br_base.city_2302305,1345
br_base.city_2302404,1347
br_base.city_2302503,1349
br_base.city_2302602,1351
br_base.city_2302701,1353
br_base.city_2302800,1355
br_base.city_2302909,1357
br_base.city_2303006,1359
br_base.city_2303105,1361
br_base.city_2303204,1363
br_base.city_2303303,1365
br_base.city_2303402,1367
br_base.city_2303501,1369
br_base.city_2303600,1371
br_base.city_2303659,0983
br_base.city_2303709,1373
br_base.city_2303808,1375
br_base.city_2303907,1377
br_base.city_2303931,0993
br_base.city_2303956,1239
br_base.city_2304004,1381
br_base.city_2304103,1383
br_base.city_2304202,1385
br_base.city_2304236,1241
br_base.city_2304251,1589
br_base.city_2304269,1243
br_base.city_2304277,1245
br_base.city_2304285,1247
br_base.city_2304301,1387
br_base.city_2304350,1591
br_base.city_2304400,1389
br_base.city_2304459,0987
br_base.city_2304509,1391
br_base.city_2304608,1393
br_base.city_2304657,1249
br_base.city_2304707,1395
br_base.city_2304806,1397
br_base.city_2304905,1399
